age,age_group
age0,age0004
age1,age0004
age2,age0004
age3,age0004
age4,age0004
age5,age0519
age6,age0519
age7,age0519
age8,age0519
age9,age0519
age10,age0519
age11,age0519
age12,age0519
age13,age0519
age14,age0519
age15,age0519
age16,age0519
age17,age0519
age18,age0519
age19,age0519
age20,age2044
age21,age2044
age22,age2044
age23,age2044
age24,age2044
age25,age2044
age26,age2044
age27,age2044
age28,age2044
age29,age2044
age30,age2044
age31,age2044
age32,age2044
age33,age2044
age34,age2044
age35,age2044
age36,age2044
age37,age2044
age38,age2044
age39,age2044
age40,age2044
age41,age2044
age42,age2044
age43,age2044
age44,age2044
age45,age4564
age46,age4564
age47,age4564
age48,age4564
age49,age4564
age50,age4564
age51,age4564
age52,age4564
age53,age4564
age54,age4564
age55,age4564
age56,age4564
age57,age4564
age58,age4564
age59,age4564
age60,age4564
age61,age4564
age62,age4564
age63,age4564
age64,age4564
age65,age65p
age66,age65p
age67,age65p
age68,age65p
age69,age65p
age70,age65p
age71,age65p
age72,age65p
age73,age65p
age74,age65p
age75,age65p
age76,age65p
age77,age65p
age78,age65p
age79,age65p
age80,age65p
age81,age65p
age82,age65p
age83,age65p
age84,age65p
age85,age65p
age86,age65p
age87,age65p
age88,age65p
age89,age65p
age90,age65p
age91,age65p
age92,age65p
age93,age65p
age94,age65p
age95,age65p
age96,age65p
age97,age65p
age98,age65p
age99,age65p
age100p,age65p
